Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
GCF_009763165.1_ASM976316v1_genomic	2	2	2	2	2	2	5160547	5160547	5160547	5160547	5160547	5160547	2	3326911	5160547	45.33	3326911	1833636	1	2	0.00
GCF_009763525.1_ASM976352v1_genomic	2	2	2	2	2	2	5158934	5158934	5158934	5158934	5158934	5158934	2	3323763	5158934	45.34	3323763	1835171	1	2	0.00
GCF_009763505.1_ASM976350v1_genomic	2	2	2	2	2	2	5158348	5158348	5158348	5158348	5158348	5158348	2	3323757	5158348	45.34	3323757	1834591	1	2	0.00
GCF_009764075.1_ASM976407v1_genomic	2	2	2	2	2	2	5144797	5144797	5144797	5144797	5144797	5144797	2	3311269	5144797	45.35	3311269	1833528	1	2	0.00
GCF_009763025.1_ASM976302v1_genomic	2	2	2	2	2	2	5128087	5128087	5128087	5128087	5128087	5128087	2	3297364	5128087	45.42	3297364	1830723	1	2	0.00
GCF_009763405.1_ASM976340v1_genomic	2	2	2	2	2	2	5136309	5136309	5136309	5136309	5136309	5136309	2	3293962	5136309	45.37	3293962	1842347	1	2	0.00
GCF_009763425.1_ASM976342v1_genomic	2	2	2	2	2	2	5088684	5088684	5088684	5088684	5088684	5088684	2	3284504	5088684	45.46	3284504	1804180	1	2	0.00
GCF_009763545.1_ASM976354v1_genomic	2	2	2	2	2	2	5129940	5129940	5129940	5129940	5129940	5129940	2	3276195	5129940	45.36	3276195	1853745	1	2	0.00
GCF_009734325.1_ASM973432v1_genomic	4	4	4	4	4	4	5579380	5579380	5579380	5579380	5579380	5579380	4	3577848	5579380	45.31	3577848	1814246	1	2	0.00
GCF_009665495.1_ASM966549v1_genomic	2	2	2	2	2	2	5397131	5397131	5397131	5397131	5397131	5397131	2	3639425	5397131	45.17	3639425	1757706	1	2	0.00
GCF_009649015.1_ASM964901v1_genomic	2	2	2	2	2	2	5144090	5144090	5144090	5144090	5144090	5144090	2	3311004	5144090	45.32	3311004	1833086	1	2	0.00
GCF_008693745.1_ASM869374v1_genomic	2	2	2	2	2	2	5154108	5154108	5154108	5154108	5154108	5154108	2	3320553	5154108	45.35	3320553	1833555	1	2	0.00
GCF_001996365.2_ASM199636v2_genomic	3	3	3	3	3	3	5389211	5389211	5389211	5389211	5389211	5389211	3	3446010	5389211	45.30	3446010	1874154	1	2	0.00
GCF_006517795.1_ASM651779v1_genomic	2	2	2	2	2	2	5383500	5383500	5383500	5383500	5383500	5383500	2	3556649	5383500	45.32	3556649	1826851	1	2	0.00
GCF_004194515.1_ASM419451v1_genomic	4	4	4	4	4	4	5286292	5286292	5286292	5286292	5286292	5286292	4	3239077	5286292	45.35	3239077	1886547	1	2	0.00
GCF_003691525.1_ASM369152v1_genomic	3	3	3	3	3	3	5396107	5396107	5396107	5396107	5396107	5396107	3	3508313	5396107	45.24	3508313	1781565	1	2	0.00
GCF_003612695.1_ASM361269v1_genomic	2	2	2	2	2	2	5188238	5188238	5188238	5188238	5188238	5188238	2	3402675	5188238	45.30	3402675	1785563	1	2	0.00
GCF_003612715.1_ASM361271v1_genomic	2	2	2	2	2	2	5173301	5173301	5173301	5173301	5173301	5173301	2	3318228	5173301	45.29	3318228	1855073	1	2	0.00
GCF_003351885.1_ASM335188v1_genomic	4	4	4	4	4	4	5580188	5580188	5580188	5580188	5580188	5580188	4	3567562	5580188	45.34	3567562	1863898	1	2	0.00
GCF_003076895.1_ASM307689v1_genomic	5	5	5	5	4	4	5444136	5444136	5444136	5444136	5424919	5424919	5	3477001	5444136	45.27	3477001	1818040	1	2	0.00
GCF_003085735.1_ASM308573v1_genomic	4	4	4	4	4	3	5404824	5404824	5404824	5404824	5404824	5366216	4	3394092	5404824	45.33	3394092	1902897	1	2	0.00
GCF_002220985.3_HGAP_genomic	2	2	2	2	2	2	5249405	5249405	5249405	5249405	5249405	5249405	2	3468665	5249405	45.19	3468665	1780740	1	2	0.00
GCF_002209725.2_ASM220972v2_genomic	2	2	2	2	2	2	5257294	5257294	5257294	5257294	5257294	5257294	2	3369175	5257294	45.29	3369175	1888119	1	2	0.00
GCF_002073775.2_ASM207377v2_genomic	2	2	2	2	2	2	5173292	5173292	5173292	5173292	5173292	5173292	2	3295711	5173292	45.39	3295711	1877581	1	2	0.00
GCF_001879585.1_ASM187958v1_genomic	3	3	3	3	3	3	5339691	5339691	5339691	5339691	5339691	5339691	3	3358191	5339691	45.25	3358191	1879955	1	2	0.00
GCF_001758605.1_ASM175860v1_genomic	2	2	2	2	2	2	5015214	5015214	5015214	5015214	5015214	5015214	2	3253462	5015214	45.44	3253462	1761752	1	2	0.00
GCF_001700835.1_ASM170083v1_genomic	5	5	5	4	4	4	5443401	5443401	5443401	5435759	5435759	5435759	5	3416467	5443401	45.23	3416467	1843316	1	2	0.00
GCF_001636035.1_ASM163603v1_genomic	3	3	3	3	3	3	5289960	5289960	5289960	5289960	5289960	5289960	3	3241330	5289960	45.32	3241330	1997247	1	2	0.00
GCF_001558495.2_ASM155849v2_genomic	2	2	2	2	2	2	5152461	5152461	5152461	5152461	5152461	5152461	2	3286802	5152461	45.33	3286802	1865659	1	2	0.00
GCF_001433415.1_ASM143341v1_genomic	3	3	3	3	3	3	5171661	5171661	5171661	5171661	5171661	5171661	3	3348850	5171661	45.48	3348850	1758762	1	2	0.00
GCF_000568495.1_ASM56849v1_genomic	3	3	3	3	3	3	5232572	5232572	5232572	5232572	5232572	5232572	3	3445790	5232572	45.33	3445790	1698252	1	2	0.00
GCF_000430405.1_ASM43040v1_genomic	2	2	2	2	2	2	5223562	5223562	5223562	5223562	5223562	5223562	2	3362228	5223562	45.30	3362228	1861334	1	2	0.00
GCF_000430425.1_ASM43042v1_genomic	2	2	2	2	2	2	5138575	5138575	5138575	5138575	5138575	5138575	2	3331580	5138575	45.36	3331580	1806995	1	2	0.00
GCF_000328405.1_ASM32840v1_genomic	2	2	2	2	2	2	5103524	5103524	5103524	5103524	5103524	5103524	2	3297305	5103524	45.36	3297305	1806219	1	2	0.00
GCF_000196095.1_ASM19609v1_genomic	2	2	2	2	2	2	5165770	5165770	5165770	5165770	5165770	5165770	2	3288558	5165770	45.37	3288558	1877212	1	2	0.00
