All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    GCF_013393865.1_ASM1339386v1_genomic  GCF_013393845.1_ASM1339384v1_genomic  GCF_013393885.1_ASM1339388v1_genomic  GCF_009883895.1_ASM988389v1_genomic  GCF_009883835.1_ASM988383v1_genomic  GCF_009883855.1_ASM988385v1_genomic  GCF_009883815.1_ASM988381v1_genomic  GCF_009764055.1_ASM976405v1_genomic  GCF_009763565.1_ASM976356v1_genomic  GCF_009763605.1_ASM976360v1_genomic  GCF_009763445.1_ASM976344v1_genomic  GCF_009763165.1_ASM976316v1_genomic  GCF_009763525.1_ASM976352v1_genomic  GCF_009763505.1_ASM976350v1_genomic  GCF_009764075.1_ASM976407v1_genomic  GCF_009763025.1_ASM976302v1_genomic  GCF_009763405.1_ASM976340v1_genomic  GCF_009763425.1_ASM976342v1_genomic  GCF_009763545.1_ASM976354v1_genomic  GCF_009734325.1_ASM973432v1_genomic  GCF_009665495.1_ASM966549v1_genomic  GCF_009649015.1_ASM964901v1_genomic  GCF_008693745.1_ASM869374v1_genomic  GCF_001996365.2_ASM199636v2_genomic  GCF_006517795.1_ASM651779v1_genomic  GCF_004194515.1_ASM419451v1_genomic  GCF_003691525.1_ASM369152v1_genomic  GCF_003612695.1_ASM361269v1_genomic  GCF_003612715.1_ASM361271v1_genomic  GCF_003351885.1_ASM335188v1_genomic  GCF_003076895.1_ASM307689v1_genomic  GCF_003085735.1_ASM308573v1_genomic  GCF_002220985.3_HGAP_genomic  GCF_002209725.2_ASM220972v2_genomic  GCF_002073775.2_ASM207377v2_genomic  GCF_001879585.1_ASM187958v1_genomic  GCF_001758605.1_ASM175860v1_genomic  GCF_001700835.1_ASM170083v1_genomic  GCF_001636035.1_ASM163603v1_genomic  GCF_001558495.2_ASM155849v2_genomic  GCF_001433415.1_ASM143341v1_genomic  GCF_000568495.1_ASM56849v1_genomic  GCF_000430405.1_ASM43040v1_genomic  GCF_000430425.1_ASM43042v1_genomic  GCF_000328405.1_ASM32840v1_genomic  GCF_000196095.1_ASM19609v1_genomic
Total length (>= 25000 bp)  5521375                               5310635                               5107724                               5446776                              5563056                              5420599                              5347867                              5425729                              5292073                              5170591                              5087213                              5160547                              5158934                              5158348                              5144797                              5128087                              5136309                              5088684                              5129940                              5579380                              5397131                              5144090                              5154108                              5389211                              5383500                              5286292                              5396107                              5188238                              5173301                              5580188                              5424919                              5404824                              5249405                       5257294                              5173292                              5339691                              5015214                              5435759                              5289960                              5152461                              5171661                              5232572                             5223562                             5138575                             5103524                             5165770                           
Total length (>= 50000 bp)  5521375                               5310635                               5107724                               5446776                              5563056                              5420599                              5347867                              5425729                              5292073                              5170591                              5087213                              5160547                              5158934                              5158348                              5144797                              5128087                              5136309                              5088684                              5129940                              5579380                              5397131                              5144090                              5154108                              5389211                              5383500                              5286292                              5396107                              5188238                              5173301                              5580188                              5424919                              5366216                              5249405                       5257294                              5173292                              5339691                              5015214                              5435759                              5289960                              5152461                              5171661                              5232572                             5223562                             5138575                             5103524                             5165770                           
# contigs                   2                                     2                                     2                                     4                                    5                                    4                                    4                                    3                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    4                                    2                                    2                                    2                                    3                                    2                                    4                                    3                                    2                                    2                                    4                                    5                                    4                                    2                             2                                    2                                    3                                    2                                    5                                    3                                    2                                    3                                    3                                   2                                   2                                   2                                   2                                 
Largest contig              3589443                               3478693                               3325904                               3491101                              3421899                              3358530                              3338799                              3535345                              3418724                              3397332                              3332037                              3326911                              3323763                              3323757                              3311269                              3297364                              3293962                              3284504                              3276195                              3577848                              3639425                              3311004                              3320553                              3446010                              3556649                              3239077                              3508313                              3402675                              3318228                              3567562                              3477001                              3394092                              3468665                       3369175                              3295711                              3358191                              3253462                              3416467                              3241330                              3286802                              3348850                              3445790                             3362228                             3331580                             3297305                             3288558                           
Total length                5521375                               5310635                               5107724                               5456849                              5563056                              5420599                              5347867                              5425729                              5292073                              5170591                              5087213                              5160547                              5158934                              5158348                              5144797                              5128087                              5136309                              5088684                              5129940                              5579380                              5397131                              5144090                              5154108                              5389211                              5383500                              5286292                              5396107                              5188238                              5173301                              5580188                              5444136                              5404824                              5249405                       5257294                              5173292                              5339691                              5015214                              5443401                              5289960                              5152461                              5171661                              5232572                             5223562                             5138575                             5103524                             5165770                           
GC (%)                      45.03                                 45.17                                 45.41                                 45.20                                45.27                                45.34                                45.35                                45.19                                45.26                                45.30                                45.39                                45.33                                45.34                                45.34                                45.35                                45.42                                45.37                                45.46                                45.36                                45.31                                45.17                                45.32                                45.35                                45.30                                45.32                                45.35                                45.24                                45.30                                45.29                                45.34                                45.27                                45.33                                45.19                         45.29                                45.39                                45.25                                45.44                                45.23                                45.32                                45.33                                45.48                                45.33                               45.30                               45.36                               45.36                               45.37                             
N50                         3589443                               3478693                               3325904                               3491101                              3421899                              3358530                              3338799                              3535345                              3418724                              3397332                              3332037                              3326911                              3323763                              3323757                              3311269                              3297364                              3293962                              3284504                              3276195                              3577848                              3639425                              3311004                              3320553                              3446010                              3556649                              3239077                              3508313                              3402675                              3318228                              3567562                              3477001                              3394092                              3468665                       3369175                              3295711                              3358191                              3253462                              3416467                              3241330                              3286802                              3348850                              3445790                             3362228                             3331580                             3297305                             3288558                           
N75                         1931932                               1831942                               1781820                               1886547                              1872065                              1884380                              1833822                              1811450                              1873349                              1773259                              1755176                              1833636                              1835171                              1834591                              1833528                              1830723                              1842347                              1804180                              1853745                              1814246                              1757706                              1833086                              1833555                              1874154                              1826851                              1886547                              1781565                              1785563                              1855073                              1863898                              1818040                              1902897                              1780740                       1888119                              1877581                              1879955                              1761752                              1843316                              1997247                              1865659                              1758762                              1698252                             1861334                             1806995                             1806219                             1877212                           
L50                         1                                     1                                     1                                     1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                             1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                   1                                   1                                   1                                   1                                 
L75                         2                                     2                                     2                                     2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                             2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                   2                                   2                                   2                                   2                                 
# N's per 100 kbp           0.02                                  0.00                                  0.00                                  0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                          0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                0.00                                0.00                                0.00                                0.00                              
